showname,day,time
Babylon,Monday,06:00
Phantasy Star Online 2 – Episode Oracle,Monday,06:30
Stand My Heroes – Piece of Truth,Monday,07:00
"Watashi, Nouryoku wa Heikinchi de tte Itta yo ne!",Monday,08:30
Bananya S2,Monday,16:30
Ace of Diamond Act II,Tuesday,02:55
Black Clover,Tuesday,03:25
Shounen Ashibe Go! Go! Goma-chan,Tuesday,04:00
ZX – Code Reunion,Tuesday,06:00
Kandagawa Jet Girls,Tuesday,07:30
Chihayafuru S3,Tuesday,12:30
Ahiru no Sora,Wednesday,02:25
Hataage! Kemono Michi,Wednesday,06:00
Radiant S2,Wednesday,06:00
Shinchou Yuusha,Wednesday,06:30
Urashimasakatasen no Nichijou,Wednesday,07:00
Mugen no Juunin – Immortal,Wednesday,09:00
Ore wo Suki nano wa Omae dake ka yo,Wednesday,09:00
Honzuki no Gekokujou,Wednesday,09:30
Houkago Saikoro Club,Wednesday,10:11
Gundam Build Divers Re-RISE,Thursday,03:00
Assassins Pride,Thursday,07:00
Choyoyu,Thursday,07:00
PSYCHO-PASS 3,Thursday,07:00
Azur Lane,Thursday,07:30
No Guns Life,Thursday,09:30
Hoshiai no Sora,Thursday,10:00
Legend of the Galactic Heroes – Die Neue These,Thursday,16:30
Chuubyou Gekihatsu Boy,Friday,06:30
Dr. Stone,Friday,07:30
Null Peta,Friday,07:45
Granblue Fantasy The Animation S2,Friday,08:30
Enen no Shouboutai,Friday,09:25
Shokugeki no Soma S4,Friday,09:30
Kabukicho Sherlock,Friday,09:55
Shin Chuuka Ichiban!,Friday,11:45
Bonobono,Friday,17:00
Boku no Hero Academia,Saturday,01:30
Mairimashita! Iruma-kun,Saturday,04:15
Detective Conan,Saturday,04:30
Cardfight!! Vanguard – Zoku Koukousei-hen,Saturday,04:40
Val x Love,Saturday,06:30
Fate Grand Order – Absolute Demonic Front Babylonia,Saturday,08:00
Sword Art Online – Alicization – War of Underworld,Saturday,08:30
Bokutachi wa Benkyou ga Dekinai S2,Saturday,09:00
Kono Oto Tomare!,Saturday,09:30
One Piece,Saturday,18:00
Gegege no Kitarou (2018),Saturday,18:30
Boruto – Naruto Next Generations,Sunday,01:00
Special 7 – Special Crime Investigation Unit,Sunday,05:00
Ensemble Stars!,Sunday,06:00
Rifle is Beautiful,Sunday,07:00
Actors – Songs Connection,Sunday,07:30
Fairy Gone,Sunday,08:00
Africa no Salaryman,Sunday,08:30
Vinland Saga,Sunday,09:00
